RECORDING_SESSION_LABEL,TRIAL_INDEX,AG_Audio_LIST,AG_Loc,AG_VIDEO,Drift_Check,Session_Name_,Trial_Index_,Trial_Recycled_,calibration,condition,phase,session,video_file,video_id,video_latency,DATA_FILE,EYE_USED,GROUPING_VARIABLES,IA_AREA,IA_AVERAGE_FIX_PUPIL_SIZE,IA_BOTTOM,IA_DWELL_TIME,IA_DWELL_TIME_%,IA_DYNAMIC,IA_END_TIME,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_INDEX,IA_FIRST_FIXATION_PREVIOUS_FIX_IA,IA_FIRST_FIXATION_PREVIOUS_IAREAS,IA_FIRST_FIXATION_RUN_INDEX,IA_FIRST_FIXATION_TIME,IA_FIRST_FIXATION_VISITED_IA_COUNT,IA_FIRST_FIXATION_X,IA_FIRST_FIXATION_Y,IA_FIRST_FIX_PROGRESSIVE,IA_FIRST_RUN_DWELL_TIME,IA_FIRST_RUN_END_TIME,IA_FIRST_RUN_FIXATION_%,IA_FIRST_RUN_FIXATION_COUNT,IA_FIRST_RUN_LANDING_POSITION,IA_FIRST_RUN_LAUNCH_SITE,IA_FIRST_RUN_START_TIME,IA_FIRST_SACCADE_AMPLITUDE,IA_FIRST_SACCADE_ANGLE,IA_FIRST_SACCADE_END_TIME,IA_FIRST_SACCADE_INDEX,IA_FIRST_SACCADE_START_TIME,IA_FIXATION_%,IA_FIXATION_COUNT,IA_FSA_COUNT_21,IA_FSA_COUNT_22,IA_FSA_COUNT_23,IA_FSA_DURATION_21,IA_FSA_DURATION_22,IA_FSA_DURATION_23,IA_GROUP,IA_ID,IA_INSTANCES_COUNT,IA_LABEL,IA_LAST_FIXATION_DURATION,IA_LAST_FIXATION_RUN,IA_LAST_FIXATION_TIME,IA_LAST_FIXATION_X,IA_LAST_FIXATION_Y,IA_LAST_RUN_DWELL_TIME,IA_LAST_RUN_END_TIME,IA_LAST_RUN_FIXATION_%,IA_LAST_RUN_FIXATION_COUNT,IA_LAST_RUN_LANDING_POSITION,IA_LAST_RUN_LAUNCH_SITE,IA_LAST_RUN_START_TIME,IA_LAST_SACCADE_AMPLITUDE,IA_LAST_SACCADE_ANGLE,IA_LAST_SACCADE_END_TIME,IA_LAST_SACCADE_INDEX,IA_LAST_SACCADE_START_TIME,IA_LEFT,IA_LEGAL,IA_LEGAL_IMMEDIATE,IA_MAX_FIX_PUPIL_SIZE,IA_MIN_FIX_PUPIL_SIZE,IA_POINTS,IA_REGRESSION_IN,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT,IA_REGRESSION_OUT_COUNT,IA_REGRESSION_OUT_FULL,IA_REGRESSION_OUT_FULL_COUNT,IA_REGRESSION_PATH_DURATION,IA_RIGHT,IA_RUN_COUNT,IA_SECOND_FIXATION_DURATION,IA_SECOND_FIXATION_RUN,IA_SECOND_FIXATION_TIME,IA_SECOND_FIXATION_X,IA_SECOND_FIXATION_Y,IA_SECOND_RUN_DWELL_TIME,IA_SECOND_RUN_END_TIME,IA_SECOND_RUN_FIXATION_%,IA_SECOND_RUN_FIXATION_COUNT,IA_SECOND_RUN_LANDING_POSITION,IA_SECOND_RUN_LAUNCH_SITE,IA_SECOND_RUN_START_TIME,IA_SELECTIVE_REGRESSION_PATH_DURATION,IA_SKIP,IA_SPILLOVER,IA_START_TIME,IA_THIRD_FIXATION_DURATION,IA_THIRD_FIXATION_RUN,IA_THIRD_FIXATION_TIME,IA_THIRD_FIXATION_X,IA_THIRD_FIXATION_Y,IA_THIRD_RUN_DWELL_TIME,IA_THIRD_RUN_END_TIME,IA_THIRD_RUN_FIXATION_%,IA_THIRD_RUN_FIXATION_COUNT,IA_THIRD_RUN_LANDING_POSITION,IA_THIRD_RUN_LAUNCH_SITE,IA_THIRD_RUN_START_TIME,IA_TOP,IA_TYPE,INTEREST_AREA_FIXATION_SEQUENCE,IP_END_EVENT_MATCHED,IP_END_TIME,IP_INDEX,IP_LABEL,IP_START_EVENT_MATCHED,IP_START_TIME,REPORTING_METHOD,TRIAL_DWELL_TIME,TRIAL_FIXATION_COUNT,TRIAL_IA_COUNT,TRIAL_LABEL,TRIAL_START_TIME,TRIAL_TOTAL_VISITED_IA_COUNT,bg,bg_code,frame_number
Beny_1,1,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,1,FALSE,starjumps50.mp4,hab,hab1,test_session,occlusion_habituation_100fps.mp4,1,4500,Beny_1.edf,RIGHT,condition: phase,138000,4018.5,620,1270,1,FALSE,,771,1,,,1,3536,0,478.3,473.3,1,1270,4841,1,2,92.3,,3536,,,,,,1,2,0,1,0,0,499,0,,22,,pole_AOI,499,1,4342,621.1,398.1,1270,4841,1,2,92.3,,3536,3.62,20.96,4341,1,4307,386,0,0,4203,3834,,0,0,0,0,0,0,1270,686,1,499,1,4342,621.1,398.1,,,,,,,,1270,0,,,,,,,,,,,,,,,160,RECTANGLE,[22],TRUE,2364290,4,disappear_IP,TRUE,2362985,Fixations,1270,2,3,Trial: 1,2359449,1,,,
Beny_1,1,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,1,FALSE,starjumps50.mp4,hab,hab1,test_session,occlusion_habituation_100fps.mp4,1,4500,Beny_1.edf,RIGHT,condition: phase,138000,,620,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,23,,left_AOI,,,,,,,,,,,,,,,,,,-50,0,0,,,,,,,,,,,250,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,160,RECTANGLE,[22],TRUE,2364290,4,disappear_IP,TRUE,2362985,Fixations,1270,2,3,Trial: 1,2359449,1,,,
Beny_1,1,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,1,FALSE,starjumps50.mp4,hab,hab1,test_session,occlusion_habituation_100fps.mp4,1,4500,Beny_1.edf,RIGHT,condition: phase,138000,,620,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,21,,right_AOI,,,,,,,,,,,,,,,,,,774,0,0,,,,,,,,,,,1074,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,160,RECTANGLE,"[22, 0]",TRUE,2365789,5,IP_End,TRUE,2364641,Fixations,1020,2,3,Trial: 1,2359449,1,,,
Beny_1,1,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,1,FALSE,starjumps50.mp4,hab,hab1,test_session,occlusion_habituation_100fps.mp4,1,4500,Beny_1.edf,RIGHT,condition: phase,138000,4203,620,805,0.7892,FALSE,,805,1,,,1,5192,0,621.1,398.1,1,805,5996,0.5,1,235.1,,5192,,,,,,0.5,1,0,0,0,0,0,0,,22,,pole_AOI,805,1,5192,621.1,398.1,805,5996,0.5,1,235.1,,5192,,,,,,386,0,0,4203,4203,,0,0,0,0,0,0,805,686,1,,,,,,,,,,,,,805,0,,,,,,,,,,,,,,,160,RECTANGLE,"[22, 0]",TRUE,2365789,5,IP_End,TRUE,2364641,Fixations,1020,2,3,Trial: 1,2359449,1,,,
Beny_1,1,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,1,FALSE,starjumps50.mp4,hab,hab1,test_session,occlusion_habituation_100fps.mp4,1,4500,Beny_1.edf,RIGHT,condition: phase,138000,,620,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,23,,left_AOI,,,,,,,,,,,,,,,,,,-50,0,0,,,,,,,,,,,250,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,160,RECTANGLE,"[22, 0]",TRUE,2365789,5,IP_End,TRUE,2364641,Fixations,1020,2,3,Trial: 1,2359449,1,,,
Beny_1,2,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,2,FALSE,starjumps50.mp4,hab,hab2,test_session,occlusion_habituation_100fps.mp4,2,4500,Beny_1.edf,RIGHT,condition: phase,138000,,620,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,21,,right_AOI,,,,,,,,,,,,,,,,,,774,0,0,,,,,,,,,,,1074,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,160,RECTANGLE,"[22, 23, 22, 0]",TRUE,2371800,1,video_IP,TRUE,2367296,Fixations,4051,7,3,Trial: 2,2366372,2,,,
Beny_1,2,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,2,FALSE,starjumps50.mp4,hab,hab2,test_session,occlusion_habituation_100fps.mp4,2,4500,Beny_1.edf,RIGHT,condition: phase,138000,4114.33,620,2715,0.6702,FALSE,,335,1,,,1,924,0,491.3,283.8,1,335,1258,0.1429,1,105.3,,924,,,,,,0.4286,3,0,1,1,0,2147,113,,22,,pole_AOI,2147,2,2527,467.3,534,2380,4673,0.2857,2,202.4,194.1,2243,4.83,-138.27,2526,5,2476,386,0,0,5834,3228,,1,1,0,0,0,0,335,686,2,233,2,2243,588.4,417.6,2380,4673,0.2857,2,202.4,194.1,2243,335,0,113,,2147,2,2527,467.3,534,,,,,,,,160,RECTANGLE,"[22, 23, 22, 0]",TRUE,2371800,1,video_IP,TRUE,2367296,Fixations,4051,7,3,Trial: 2,2366372,2,,,
Beny_1,2,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,2,FALSE,starjumps50.mp4,hab,hab2,test_session,occlusion_habituation_100fps.mp4,2,4500,Beny_1.edf,RIGHT,condition: phase,138000,4206,620,812,0.2004,FALSE,,113,2,22,[22],2,1320,1,145.2,442.8,1,812,2186,0.4286,3,195.2,-541.3,1320,11.06,-160.85,1319,1,1259,0.4286,3,0,1,2,0,233,699,,23,,left_AOI,208,1,1979,191.9,502.4,812,2186,0.4286,3,195.2,-541.3,1320,3.42,3.02,1978,3,1946,-50,1,1,4723,3817,,0,0,1,1,1,1,3192,250,1,491,1,1455,45.5,498,,,,,,,,812,0,,,208,1,1979,191.9,502.4,,,,,,,,160,RECTANGLE,"[22, 23, 22, 0]",TRUE,2371800,1,video_IP,TRUE,2367296,Fixations,4051,7,3,Trial: 2,2366372,2,,,
Beny_1,2,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,2,FALSE,starjumps50.mp4,hab,hab2,test_session,occlusion_habituation_100fps.mp4,2,4500,Beny_1.edf,RIGHT,condition: phase,138000,,620,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,21,,right_AOI,,,,,,,,,,,,,,,,,,774,0,0,,,,,,,,,,,1074,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,160,RECTANGLE,"[22, 0]",TRUE,2371800,2,test_IP_long,TRUE,2368997,Fixations,2573,2,3,Trial: 2,2366372,1,,,
Beny_1,2,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,2,FALSE,starjumps50.mp4,hab,hab2,test_session,occlusion_habituation_100fps.mp4,2,4500,Beny_1.edf,RIGHT,condition: phase,138000,3281,620,2049,0.7963,FALSE,,2049,1,,,1,2625,0,467.3,534,1,2049,4673,0.5,1,81.3,,2625,,,,,,0.5,1,0,0,0,0,0,0,,22,,pole_AOI,2049,1,2625,467.3,534,2049,4673,0.5,1,81.3,,2625,,,,,,386,0,0,3281,3281,,0,0,0,0,0,0,2049,686,1,,,,,,,,,,,,,2049,0,,,,,,,,,,,,,,,160,RECTANGLE,"[22, 0]",TRUE,2371800,2,test_IP_long,TRUE,2368997,Fixations,2573,2,3,Trial: 2,2366372,1,,,
