,Subject,trial,exploration_time_apparatus,exploration_time_target,phase_occlusion_exp,exploration_time_distractor1,exploration_time_distractor2,prop_looking_target_distractor,prop_looking_target_phase,prop_looking_apparatus_phase,dog_ID,breed,date_of_birth,test_date,age,sex,neutering_status,task,condition,object_l..dog.perspective.,object_m,object_r,scored.by,date
25,Gismo4,occlusion_exp,12.33333333,1.066666667,183.5166667,2.55,3.266666666,0.15496368,0.005812369,0.067205522,26,mix,16/01/2015,21/02/2022,85,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura ,06.03.2022
26,Grace2,occlusion_exp,19.36665332,60.14995855,191.2332016,1.41666569,5.399996279,0.898208064,0.314537215,0.101272442,12,boxer,13/03/2019,12/02/2022,34,f,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Laura,23.2.2022.
27,Grisu2,occlusion_exp,2.466666016,2.41666603,181.9666187,1.083333048,0,0.69047619,0.013280821,0.013555596,48,vizsla,22/10/2018,28/02/2022,40,m,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,29.3.2022.
28,Henry2,occlusion_exp,0.416666667,0,183.0166667,0.25,0.716666667,0,0,0.00227666,36,irish_setter,07/03/2015,23/02/2022,83,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Ana,24.3.2022.
29,Henry3,occlusion_exp,6.066663257,0.499999719,181.2665648,1.549999129,1.816665646,0.129310345,0.002758367,0.033468187,50,weimaraner,01/05/2018,01/03/2022,46,m,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,29.3.2022.
30,Kali2,occlusion_exp,0.283333143,146.7499012,184.6665424,1.699998856,1.383332403,0.97942158,0.79467509,0.001534296,15,border_collie,22/09/2020,14/02/2022,16,f,i,occlusion,incongruent,yellow_ball,yellow_ring,dumbell,Ana,19.3.2022.
31,Kylie,occlusion_exp,0,14.05,184.4666667,1.283333333,0.383333333,0.893955461,0.076165522,0,61,australian_shepherd,05/05/2017,06/03/2022,58,f,?,occlusion,incongruent,yellow_ball,yellow_ring,dumbell,Laura,10.4.2022.
32,Lea3,occlusion_exp,7.533331596,3.283332576,182.6166246,4.099999056,1.183333061,0.383268482,0.017979374,0.041252168,17,parson_russell_terrier,30/08/2014,17/02/2022,89,f,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Laura,25.2.2022.
33,Leaf,occlusion_exp,0,23.26665558,181.8999133,2.21666561,1.849999118,0.851219512,0.127909108,0,78,golden_retriever,21/05/2012,14/03/2022,117,f,n,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,2.5.2022.
34,Liva,occlusion_exp,0,29.31665983,182.6499574,0.399999907,0.416666569,0.97289823,0.160507346,0,41,golden_retriever,01/05/2014,24/02/2022,93,f,n,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,26.3.2022.
35,Loki4,occlusion_exp,6.266665204,3.733332461,184.7999569,1.199999719,2.083332847,0.532066508,0.02020202,0.033910534,24,mix,01/09/2014,21/02/2022,89,m,n,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Laura,6.3.2022.
36,Lolo,occlusion_exp,0,1.133333334,185.3,0.8,1.066666667,0.377777778,0.006116208,0,35,mix,01/01/2016,23/02/2022,73,f,n,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,24.3.2022.
37,Lucy17,occlusion_exp,29.81666667,30.46666667,181.5166667,5.983333333,4.816666667,0.738287561,0.16784501,0.164264071,49,lakeland_terrier,15/05/2016,01/03/2022,69,f,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,29.3.2022.
38,Lumpi,occlusion_exp,0,0,185.35,0.366666667,0.866666667,0,0,0,66,mix,15/10/2015,07/03/2022,76,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,15.4.2022.
39,Manni2,occlusion_exp,10.38333061,0.383333233,181.3332858,4.34999886,0,0.080985916,0.002113971,0.057261029,43,pyrenean_sheep_dog,31/05/2016,26/02/2022,68,m,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,27.3.2022.
40,Maya,occlusion_exp,1.666666667,1.466666667,183.3833333,1.15,0.55,0.463157895,0.007997819,0.00908843,38,border_collie,20/02/2017,08/03/2022,60,f,n,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Ana,25.3.2022.
41,Mazikeen,occlusion_exp,0,3.599997436,184.3165354,2.39999829,4.216663663,0.352365416,0.019531603,0,68,hovawart,06/03/2020,10/03/2022,24,f,i,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura,21.4.2022.
42,Nala12,occlusion_exp,0,2.633333334,181.25,2.316666667,2.133333333,0.371764706,0.014528736,0,10,maltipoo,02/05/2019,11/02/2022,33,f,i,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Ana,21.2.2022.
43,Nele3,occlusion_exp,0,0.483333048,180.9498931,0.233333196,0,0.674418604,0.002671088,0,42,mix,29/03/2011,24/02/2022,130,f,n,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,27.3.2022.
44,Nora3,occlusion_exp,16.75,55.38333333,180.15,1.033333333,1.166666667,0.961794501,0.307428994,0.092978074,51,weimaraner,23/09/2014,01/03/2022,89,f,n,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Laura,29.3.2022.
45,Ona,occlusion_exp,5.133329719,69.28328455,182.4332049,1.916665317,4.333330282,0.917255075,0.379773433,0.028138133,19,czechoslovak_wolfdog,14/06/2020,17/02/2022,20,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,
46,Paddy,occlusion_exp,4.783330149,52.09996531,181.4832125,2.149998568,86.56660904,0.369984614,0.287078703,0.026356874,54,irish_setter,18/03/2017,03/03/2022,59,m,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Laura,2.4.2022.
