,Subject,Value,trial,play,dog_ID,breed,date_of_birth,test_date,age,sex,neutering_status,task,condition,object_l..dog.perspective.,object_m,object_r,scored.by,date,play_present
35,Ronja7,drop,occlusion_exp,2,11,schnauzer,28/03/2015,12/02/2022,82,f,n,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Ana,,1
36,Ronja7,paw,occlusion_exp,4,11,schnauzer,28/03/2015,12/02/2022,82,f,n,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Ana,,1
37,Ronja8,drop,occlusion_exp,17,1,jack_russell_terrier,04/06/2020,08/02/2022,20,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,,1
38,Ronja8,paw,occlusion_exp,11,1,jack_russell_terrier,04/06/2020,08/02/2022,20,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,,1
39,Samba2,drop,occlusion_exp,3,21,australian_shepherd,06/06/2017,19/02/2022,56,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,,1
40,Samira,drop,occlusion_exp,4,52,yorkshire_terrier,04/05/2014,01/03/2022,93,f,n,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,1.4.2022.,1
41,Samira,paw,occlusion_exp,21,52,yorkshire_terrier,04/05/2014,01/03/2022,93,f,n,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,1.4.2022.,1
42,Sheila,paw,occlusion_exp,1,27,mix,01/12/2012,21/02/2022,110,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Laura ,6.3.2022.,1
43,Sixtus,paw,occlusion_exp,2,33,petit_brabancon,30/07/2016,23/02/2022,66,m,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,23.2.2022.,1
44,Alou,drop,NA,0,6,australian_shepherd,15/03/2016,10/02/2022,70,f,n,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Laura,,0
45,Aria,drop,NA,0,30,australian_shepherd,26/03/2019,07/03/2022,35,f,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Ana,24.3.2022.,0
46,Aslan4,drop,NA,0,82,miniature_spitz,12/09/2018,17/03/2022,42,m,n,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.,0
47,Baerli,drop,NA,0,73,irish_glen_of_imaal_terrier,30/03/2015,10/03/2022,83,m,n,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Laura,26.4.2022.,0
48,Bento,drop,NA,0,23,mix,02/10/2020,19/02/2022,16,m,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,14.03.2022,0
49,Crash,drop,NA,0,7,australian_shepherd,05/03/2018,10/02/2022,47,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,,0
50,Cuba,drop,NA,0,69,staffordshire_bull_terrier,24/11/2017,08/03/2022,51,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,22.4.2022.,0
51,Cully,drop,NA,0,76,cocker_spaniel,13/06/2018,14/03/2022,45,m,i,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura,29.4.2022.,0
52,Cwinta,drop,NA,0,58,kooikerhondje,27/04/2016,05/03/2022,70,f,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Ana,5.4.2022.,0
53,Duana,drop,NA,0,64,irish_glen_of_imaal_terrier,03/12/2016,07/03/2022,63,f,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Laura,15.4.2022.,0
54,Felix6,drop,NA,0,72,german_spitz,17/12/2015,15/03/2022,74,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,23.4.2022.,0
55,Finn8,drop,NA,0,80,shetland_sheepdog,16/11/2016,15/03/2022,63,m,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.,0
56,Finne-Failbhe,drop,NA,0,81,irish_glen_of_imaal_terrier,12/12/2019,17/03/2022,27,f,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.,0
57,Fiona,drop,NA,0,4,rhodesian_ridgeback,03/03/2012,09/02/2022,119,f,n,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Christoph,,0
58,Gismo4,drop,NA,0,26,mix,16/01/2015,21/02/2022,85,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura ,06.03.2022,0
59,Grisu2,drop,NA,0,48,vizsla,22/10/2018,28/02/2022,40,m,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,29.3.2022.,0
60,Henry2,drop,NA,0,36,irish_setter,07/03/2015,23/02/2022,83,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Ana,24.3.2022.,0
61,Henry3,drop,NA,0,50,weimaraner,01/05/2018,01/03/2022,46,m,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,29.3.2022.,0
62,Lea3,drop,NA,0,17,parson_russell_terrier,30/08/2014,17/02/2022,89,f,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Laura,25.2.2022.,0
63,Loki4,drop,NA,0,24,mix,01/09/2014,21/02/2022,89,m,n,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Laura,6.3.2022.,0
64,Lolo,drop,NA,0,35,mix,01/01/2016,23/02/2022,73,f,n,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,24.3.2022.,0
65,Lucy17,drop,NA,0,49,lakeland_terrier,15/05/2016,01/03/2022,69,f,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,29.3.2022.,0
66,Lumpi,drop,NA,0,66,mix,15/10/2015,07/03/2022,76,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,15.4.2022.,0
67,Manni2,drop,NA,0,43,pyrenean_sheep_dog,31/05/2016,26/02/2022,68,m,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,27.3.2022.,0
68,Maya,drop,NA,0,38,border_collie,20/02/2017,08/03/2022,60,f,n,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Ana,25.3.2022.,0
69,Mazikeen,drop,NA,0,68,hovawart,06/03/2020,10/03/2022,24,f,i,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura,21.4.2022.,0
70,Nala12,drop,NA,0,10,maltipoo,02/05/2019,11/02/2022,33,f,i,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Ana,21.2.2022.,0
71,Nele3,drop,NA,0,42,mix,29/03/2011,24/02/2022,130,f,n,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,27.3.2022.,0
72,Paula2,drop,NA,0,2,jack_russell_terrier,16/08/2020,08/02/2022,17,f,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Laura,,0
73,Pebbles3,drop,NA,0,9,french_bulldog,05/01/2019,11/02/2022,37,f,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,,0
74,Ravenna,drop,NA,0,32,american_staffordshire_terrier,29/04/2017,22/02/2022,57,f,i,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Laura,24.3.2022.,0
75,Sahibu,drop,NA,0,83,mix,21/03/2014,16/03/2022,95,m,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.,0
76,Sheila,drop,NA,0,27,mix,01/12/2012,21/02/2022,110,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Laura ,6.3.2022.,0
77,Sixtus,drop,NA,0,33,petit_brabancon,30/07/2016,23/02/2022,66,m,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,23.2.2022.,0
78,Stella5,drop,NA,0,70,labrador_retriever,21/09/2018,09/03/2022,41,f,i,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura,23.4.2022.,0
79,Toffee3,drop,NA,0,8,continental_bulldog,19/02/2014,10/02/2022,95,f,n,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Ana,21.2.2022.,0
80,Travis,drop,NA,0,39,siberian_husky,18/03/2015,24/02/2022,83,m,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,26.5.2022.,0
81,Woody,drop,NA,0,28,staffordshire_bull Terrier,11/06/2014,22/02/2022,92,m,n,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura ,8.3.2022.,0
82,Woody2,drop,NA,0,55,border_collie,26/04/2019,03/03/2022,34,m,n,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,4.4.2022.,0
83,Panda,paw,NA,0,13,american_staffordshire_terrier,14/03/2019,12/02/2022,34,f,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,,0
84,Alfonso,paw,NA,0,34,mix,01/10/2015,23/02/2022,76,m,n,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,23.2.2022.,0
85,Alou,paw,NA,0,6,australian_shepherd,15/03/2016,10/02/2022,70,f,n,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Laura,,0
86,Aria,paw,NA,0,30,australian_shepherd,26/03/2019,07/03/2022,35,f,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Ana,24.3.2022.,0
87,Aslan4,paw,NA,0,82,miniature_spitz,12/09/2018,17/03/2022,42,m,n,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.,0
88,Baerli,paw,NA,0,73,irish_glen_of_imaal_terrier,30/03/2015,10/03/2022,83,m,n,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Laura,26.4.2022.,0
89,Cacho,paw,NA,0,16,retriever,25/04/2018,16/02/2022,45,m,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Ana,24.2.2022.,0
90,Crash,paw,NA,0,7,australian_shepherd,05/03/2018,10/02/2022,47,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,,0
91,Cully,paw,NA,0,76,cocker_spaniel,13/06/2018,14/03/2022,45,m,i,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura,29.4.2022.,0
92,Cwinta,paw,NA,0,58,kooikerhondje,27/04/2016,05/03/2022,70,f,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Ana,5.4.2022.,0
93,Django2,paw,NA,0,31,american_staffordshire_terrier,24/06/2015,22/02/2022,79,m,i,occlusion,incongruent,yellow_ball,yellow_ring,dumbell,Laura,23.3.2022.,0
94,Duana,paw,NA,0,64,irish_glen_of_imaal_terrier,03/12/2016,07/03/2022,63,f,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Laura,15.4.2022.,0
95,Felix6,paw,NA,0,72,german_spitz,17/12/2015,15/03/2022,74,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,23.4.2022.,0
96,Filou8,paw,NA,0,25,labrador_retriever,01/09/2011,06/03/2022,126,m,n,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,10.3.2022.,0
97,Finn8,paw,NA,0,80,shetland_sheepdog,16/11/2016,15/03/2022,63,m,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.,0
98,Finne-Failbhe,paw,NA,0,81,irish_glen_of_imaal_terrier,12/12/2019,17/03/2022,27,f,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.,0
99,Fiona,paw,NA,0,4,rhodesian_ridgeback,03/03/2012,09/02/2022,119,f,n,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Christoph,,0
100,Gismo4,paw,NA,0,26,mix,16/01/2015,21/02/2022,85,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura ,06.03.2022,0
101,Grisu2,paw,NA,0,48,vizsla,22/10/2018,28/02/2022,40,m,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,29.3.2022.,0
102,Henry2,paw,NA,0,36,irish_setter,07/03/2015,23/02/2022,83,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Ana,24.3.2022.,0
103,Henry3,paw,NA,0,50,weimaraner,01/05/2018,01/03/2022,46,m,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,29.3.2022.,0
104,Kylie,paw,NA,0,61,australian_shepherd,05/05/2017,06/03/2022,58,f,?,occlusion,incongruent,yellow_ball,yellow_ring,dumbell,Laura,10.4.2022.,0
105,Lea3,paw,NA,0,17,parson_russell_terrier,30/08/2014,17/02/2022,89,f,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Laura,25.2.2022.,0
106,Leaf,paw,NA,0,78,golden_retriever,21/05/2012,14/03/2022,117,f,n,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,2.5.2022.,0
107,Liva,paw,NA,0,41,golden_retriever,01/05/2014,24/02/2022,93,f,n,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,26.3.2022.,0
108,Lolo,paw,NA,0,35,mix,01/01/2016,23/02/2022,73,f,n,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,24.3.2022.,0
109,Lucy17,paw,NA,0,49,lakeland_terrier,15/05/2016,01/03/2022,69,f,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,29.3.2022.,0
110,Lumpi,paw,NA,0,66,mix,15/10/2015,07/03/2022,76,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,15.4.2022.,0
111,Manni2,paw,NA,0,43,pyrenean_sheep_dog,31/05/2016,26/02/2022,68,m,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,27.3.2022.,0
112,Maya,paw,NA,0,38,border_collie,20/02/2017,08/03/2022,60,f,n,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Ana,25.3.2022.,0
113,Mazikeen,paw,NA,0,68,hovawart,06/03/2020,10/03/2022,24,f,i,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura,21.4.2022.,0
114,Nala12,paw,NA,0,10,maltipoo,02/05/2019,11/02/2022,33,f,i,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Ana,21.2.2022.,0
115,Nele3,paw,NA,0,42,mix,29/03/2011,24/02/2022,130,f,n,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,27.3.2022.,0
116,Nora3,paw,NA,0,51,weimaraner,23/09/2014,01/03/2022,89,f,n,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Laura,29.3.2022.,0
117,Paddy,paw,NA,0,54,irish_setter,18/03/2017,03/03/2022,59,m,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Laura,2.4.2022.,0
118,Paula2,paw,NA,0,2,jack_russell_terrier,16/08/2020,08/02/2022,17,f,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Laura,,0
119,Pebbles3,paw,NA,0,9,french_bulldog,05/01/2019,11/02/2022,37,f,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,,0
120,Sahibu,paw,NA,0,83,mix,21/03/2014,16/03/2022,95,m,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.,0
121,Samba2,paw,NA,0,21,australian_shepherd,06/06/2017,19/02/2022,56,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,,0
122,Stella5,paw,NA,0,70,labrador_retriever,21/09/2018,09/03/2022,41,f,i,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura,23.4.2022.,0
123,Toffee3,paw,NA,0,8,continental_bulldog,19/02/2014,10/02/2022,95,f,n,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Ana,21.2.2022.,0
124,Travis,paw,NA,0,39,siberian_husky,18/03/2015,24/02/2022,83,m,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,26.5.2022.,0
125,Woody,paw,NA,0,28,staffordshire_bull Terrier,11/06/2014,22/02/2022,92,m,n,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura ,8.3.2022.,0
126,Woody2,paw,NA,0,55,border_collie,26/04/2019,03/03/2022,34,m,n,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,4.4.2022.,0
