"","Estimate","SE","95% CI","z","p"
"(Intercept)"," 0.26","0.25","[-0.23, 0.75]"," 1.03","0.303"
"conditionincongruent"," 0.58","0.30","[-0.01, 1.17]"," 1.93","0.054"
"sexm","-0.54","0.30","[-1.13, 0.04]","-1.82","0.069"
"z.age","-0.15","0.15","[-0.44, 0.15]","-0.97","0.33"
