"","Estimate","SE","95% CI","LRT","p"
"(Intercept)","-0.21","0.46","[-1.20, 0.87]","  NA",NA
"conditionincongruent"," 1.22","0.53","[ 0.08, 2.39]","4.39","0.036"
"sexm"," 0.02","0.53","[-1.06, 1.14]","0.00","0.974"
"z.age","-0.43","0.27","[-0.92, 0.10]","2.57","0.109"
